,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Outlier,Latitude,Longitude,Address,City,State,ZipCode
2156,24563,2015,NonResidential,Retail Store,Rite Aid Store #5216_8500 35Th Ave Ne,Northeast,1952,1.0,1.0,26853,0,26853,Retail Store,Retail Store,20360.0,,,,,,63.0,71.4,203.6,1452804.0,0.0,1254030.0,198825.0,0.0,19.3,0.52,, 47.69064238, -122.2901908, 8500 35Th Ave Ne, Seattle, WA,98115
2133,24563,2016,NonResidential,Retail Store,Store #5216_8500 35Th Avenue Ne,Northeast,1952,1.0,1.0,26853,0,26853,Retail Store,Retail Store,20360.0,,,,,,68.0,68.69999695,189.6999969,1399062.75,0.0,1145340.0,253723.0,0.0,21.46,0.8,,47.69066,-122.29023,8500 35Th Avenue Ne,Seattle,WA,98115
2160,24579,2015,NonResidential,Other,Sodo Park Building,Greater Duwamish,1916,1.0,1.0,27760,0,27760,"Office, Other, Parking, Retail Store",Other,19715.0,Office,12000.0,Retail Store,6000.0,,,62.6,117.8,2360656.0,0.0,939680.0,1421015.0,0.0,82.02,2.81,, 47.57489085, -122.3336642, 3200 1St Ave S, Seattle, WA,98134
2138,24579,2016,NonResidential,Other,Sodo Park Bldg,Greater Duwamish,1916,2.0,1.0,27760,0,27760,"Office, Other, Parking, Retail Store",Other,19715.0,Office,12000.0,Retail Store,6000.0,,,75.09999847,124.0999985,2833624.5,0.0,816471.0,2017153.0,0.0,112.82,4.06,,47.57507,-122.33349,3200 1St Ave South,Seattle,WA,98134
2161,24581,2015,NonResidential,Other,Sodo Deli / Body Zone,Greater Duwamish,1937,1.0,1.0,20975,0,20975,"Fast Food Restaurant, Other, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,13144.0,Other,6600.0,Fast Food Restaurant,1070.0,,,12.9,37.7,268269.0,0.0,240663.0,27616.0,0.0,3.14,0.1,, 47.57458115, -122.33369446, 3228 1St Ave S, Seattle, WA,98134
2139,24581,2016,NonResidential,Other,Sodo,Greater Duwamish,1937,1.0,1.0,20975,0,20975,"Fast Food Restaurant, Other, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,13144.0,Other,6600.0,Fast Food Restaurant,1070.0,,,16.70000076,43.59999847,347437.6875,0.0,259882.0,87556.0,0.0,6.46,0.31,,47.57459,-122.3339,3228 1St Ave S,Seattle,WA,98134
2162,24585,2015,NonResidential,Other,Gorlicks Dist Ctr,Greater Duwamish,1918,1.0,1.0,26075,0,26075,Other,Other,26075.0,,,,,,,58.9,170.7,1535784.0,0.0,1357999.0,177842.0,0.0,18.91,0.5,, 47.57621087, -122.3336886, 2944 1St Ave S, Seattle, WA,98134
2140,24585,2016,NonResidential,Other,Gorlick'S Distribution Center,Greater Duwamish,1918,1.0,1.0,26075,0,26075,Other,Other,26075.0,,,,,,,61.70000076,182.6000061,1608508.75,0.0,1470083.0,138426.0,0.0,17.6,0.67,,47.57619,-122.3339,2944 1St Ave S,Seattle,WA,98134
2163,24587,2015,NonResidential,Non-Refrigerated Warehouse,Lander Station Business Park,Greater Duwamish,1992,1.0,1.0,29394,0,29394,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,29394.0,Office,16902.0,,,,57.0,33.0,88.3,1529309.0,0.0,1187222.0,342136.0,0.0,26.45,0.73,, 47.57881724, -122.3327404, 2730 Occidental Ave S, Seattle, WA,98134
2141,24587,2016,NonResidential,Warehouse,Lander Station Business Park,Greater Duwamish,1992,1.0,1.0,29394,0,29394,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,29394.0,Office,16902.0,,,,60.0,32.09999847,85.30000305,1486681.75,0.0,1141948.0,344734.0,0.0,26.27,0.89,,47.57881,-122.33273,151 S. Lander St,Seattle,WA,98134
2165,24589,2015,NonResidential,Non-Refrigerated Warehouse,A2Allc (Color Tile),Greater Duwamish,1926,1.0,2.0,20400,0,20400,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,15000.0,Office,5400.0,,,,62.0,22.4,50.2,456747.0,0.0,260108.0,196650.0,0.0,12.26,0.55,, 47.57938766, -122.33369446, 2710 1St Ave S, Seattle, WA,98134
2143,24589,2016,NonResidential,Warehouse,A2A Llc,Greater Duwamish,1926,1.0,2.0,20400,0,20400,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,15000.0,Office,5400.0,,,,69.0,21.5,47.29999924,438557.0,0.0,241070.0,197487.0,0.0,12.17,0.6,,47.57941,-122.3336,2710 1St Ave S,Seattle,WA,98134
2166,24591,2015,NonResidential,Small- and Mid-Sized Office,Columbia Printing,Greater Duwamish,1926,1.0,1.0,20460,0,20460,Office,Office,20460.0,,,,,,1.0,150.9,473.8,3087318.0,0.0,3087446.0,0.0,0.0,21.52,0.4,, 47.57895555, -122.3336665, 2724 1St Ave S, Seattle, WA,98134
2144,24591,2016,NonResidential,Small- and Mid-Sized Office,2724 1St Avenue South,Greater Duwamish,1926,1.0,1.0,20460,0,20460,Office,Office,20460.0,,,,,,16.0,44.20000076,138.6999969,903541.875,0.0,903542.0,0.0,0.0,6.3,0.31,,47.57893,-122.33374,2724 1St Avenue South,Seattle,WA,98134
2167,24593,2015,NonResidential,"Self-Storage Facility
",E-Z Mini Storage,Greater Duwamish,1925,1.0,2.0,25821,0,25821,Self-Storage Facility,Self-Storage Facility,25821.0,,,,,,,8.0,24.9,207572.0,0.0,202896.0,4684.0,0.0,1.66,0.03,, 47.58167648, -122.33369446, 2400 1St Ave S, Seattle, WA,98134
2145,24593,2016,NonResidential,Self-Storage Facility,1St Ave Self Storage,Greater Duwamish,1925,1.0,2.0,25821,0,25821,Self-Storage Facility,Self-Storage Facility,25821.0,,,,,,,8.100000381,25.5,209698.7031,0.0,209699.0,0.0,0.0,1.46,0.06,,47.58168,-122.33369,2400 1St Ave S,Seattle,WA,98134
2168,24598,2015,NonResidential,Refrigerated Warehouse,Distributors Warehousing Co,Greater Duwamish,1955,1.0,2.0,21870,0,21870,Refrigerated Warehouse,Refrigerated Warehouse,21870.0,,,,,,53.0,49.6,155.7,1084233.0,0.0,1084278.0,0.0,0.0,7.56,0.13,, 47.58199912, -122.3325951, 2250 Occidental Ave S, Seattle, WA,98134
2146,24598,2016,NonResidential,Refrigerated Warehouse,Bnr Corporation,Greater Duwamish,1955,1.0,2.0,21870,0,21870,Refrigerated Warehouse,Refrigerated Warehouse,21870.0,,,,,,45.0,49.09999847,154.3000031,1074350.375,0.0,1074350.0,0.0,0.0,7.49,0.34,,47.58217,-122.33263,2250 Occidental Ave S,Seattle,WA,98134
2169,24599,2015,NonResidential,Non-Refrigerated Warehouse,South Lander Business Park,Greater Duwamish,1988,1.0,1.0,51664,0,51664,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,51664.0,,,,,,,67.6,179.9,3494383.0,0.0,2692675.0,801820.0,0.0,61.36,0.96,, 47.58064548, -122.3324885, 2454 Occidental Ave S, Seattle, WA,98134
2147,24599,2016,NonResidential,Warehouse,South Lander Business Park,Greater Duwamish,1988,3.0,1.0,51664,0,51664,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,51664.0,,,,,,,68.30000305,177.3999939,3528086.75,0.0,2614003.0,914084.0,0.0,66.77,1.29,,47.58069,-122.3325,2454 Occidental Ave S,Seattle,WA,98134
2170,24600,2015,NonResidential,Medical Office,Navos Psychiatric Hospital,Delridge,1970,1.0,1.0,43615,0,43615,Medical Office,Medical Office,43615.0,,,,,,89.0,71.5,138.6,3118304.0,0.0,1325644.0,1792715.0,0.0,104.45,2.26,, 47.53409853, -122.3661589, 2600 Sw Holden St, Seattle, WA,98126
2148,24600,2016,NonResidential,Medical Office,Navos Psychiatric Hospital,Delridge,1970,1.0,1.0,43615,0,43615,Medical Office,Medical Office,43615.0,,,,,,89.0,71.90000153,137.8999939,3133849.5,0.0,1302454.0,1831396.0,0.0,106.35,2.44,,47.53419,-122.36624,2600 Sw Holden St,Seattle,WA,98126
2171,24601,2015,NonResidential,Small- and Mid-Sized Office,Navos Office,Delridge,1970,1.0,3.0,36879,0,36879,Office,Office,16855.0,,,,,,35.0,60.0,188.5,1012034.0,0.0,1012076.0,0.0,0.0,7.06,0.07,, 47.53409853, -122.3661589, 2600 Sw Holden St, Seattle, WA,98126
2149,24601,2016,NonResidential,Small- and Mid-Sized Office,Navos Erlick Perez,Delridge,1970,1.0,3.0,36879,0,36879,Office,Office,16855.0,,,,,,26.0,67.90000153,213.1999969,1144267.5,0.0,1144267.0,0.0,0.0,7.98,0.22,,47.53419,-122.36624,2600 Sw Holden St,Seattle,WA,98126
2172,24602,2015,Nonresidential COS,Other,Southwest Precinct (Seattle Police),Delridge,2002,1.0,2.0,28531,0,28531,"Other, Parking",Other,28303.0,Parking,1100.0,,,,,122.6,279.3,3468606.0,0.0,2039283.0,1429408.0,0.0,90.13,2.85,, 47.53588197, -122.361815, 2300 Sw Webster St, Seattle, WA,98106
2150,24602,2016,Nonresidential COS,Other,Southwest Precinct,Delridge,2002,1.0,2.0,28531,0,28531,"Other, Parking",Other,28303.0,Parking,1100.0,,,,,123.5,278.3999939,3494929.5,0.0,2013762.0,1481167.0,0.0,92.7,3.25,,47.53578,-122.36205,2300 Sw Webster St,Seattle,WA,98106
2173,24603,2015,NonResidential,Non-Refrigerated Warehouse,Public Storage,Delridge,1982,1.0,2.0,36600,0,36600,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,43556.0,,,,,,83.0,6.6,20.8,288191.0,0.0,288203.0,0.0,0.0,2.01,0.02,, 47.53842482, -122.361646, 7133 Delridge Way Sw, Seattle, WA,98106
2151,24603,2016,NonResidential,Warehouse,20731-West Seattle / Delridge Way Sw,Delridge,1982,1.0,2.0,36600,0,36600,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,43556.0,,,,,,80.0,7.099999905,22.20000076,308400.4063,0.0,308400.0,0.0,0.0,2.15,0.06,,47.53846,-122.36175,7133 Delridge Way Sw,Seattle,WA,98106
2174,24604,2015,NonResidential,Mixed Use Property,West Seattle Venture Llc,Southwest,2004,1.0,5.0,35176,0,35176,"Office, Other",Office,14452.0,Other,14452.0,,,,,33.1,103.9,956598.0,0.0,956638.0,0.0,0.0,6.67,0.07,, 47.57280318, -122.370458, 3400 Harbor Ave Sw, Seattle, WA,98126
2152,24604,2016,NonResidential,Mixed Use Property,"West Seattle Venture, Llc",Southwest,2004,1.0,5.0,35176,0,35176,"Office, Other",Office,14452.0,Other,14452.0,,,,,35.0,109.9000015,1011965.375,0.0,1011965.0,0.0,0.0,7.05,0.2,,47.57269,-122.37056,3400 Harbor Ave Sw,Seattle,WA,98126
2177,24614,2015,SPS-District K-12,K-12 School,Sakajawea Elementary (Sps-District),North,1959,1.0,1.0,36701,0,36701,K-12 School,K-12 School,40285.0,,,,,,93.0,32.5,68.2,1307883.0,0.0,658110.0,649800.0,0.0,39.1,0.99,, 47.69878269, -122.3081331, 9501 20Th Ave Ne, Seattle, WA,98115
2179,24624,2015,NonResidential,College/University,Bastyr University Medical Office Building,Lake Union,1940,1.0,2.0,41293,15243,26050,"College/University, Medical Office",College/University,26393.0,Medical Office,15000.0,,,,,68.1,171.4,2817261.0,0.0,1979637.0,837706.0,0.0,58.29,1.21,, 47.652324, -122.342193, 3670 Stone Way N, Seattle, WA,98103
2157,24624,2016,NonResidential,University,Bastyr Center For Natural Health,Lake Union,1940,1.0,2.0,41293,15243,26050,"College/University, Medical Office",College/University,26393.0,Medical Office,15000.0,,,,,68.59999847,169.6000061,2839882.25,0.0,1932090.0,907792.0,0.0,61.68,1.49,,47.65231,-122.34217,3670 Stone Way N,Seattle,WA,98103
2181,24629,2015,NonResidential,Non-Refrigerated Warehouse,Tri-North Department Stores,Greater Duwamish,1941,1.0,1.0,48890,0,48890,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,30889.0,Office,18000.0,,,,45.0,43.0,92.9,2101795.0,0.0,1116552.0,985289.0,0.0,60.11,1.13,, 47.55709147, -122.3332356, 5000 1St Ave S, Seattle, WA,98134
2159,24629,2016,NonResidential,Warehouse,Tri-North,Greater Duwamish,1941,1.0,1.0,48890,0,48890,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,30889.0,Office,18000.0,,,,49.0,43.0,91.40000153,2100216.5,0.0,1082370.0,1017846.0,0.0,61.6,1.26,,47.55718,-122.33288,5000 1St Ave. S,Seattle,WA,98134
2182,24630,2015,NonResidential,Small- and Mid-Sized Office,Office Building,Greater Duwamish,2000,1.0,3.0,43473,0,43473,Office,Office,43473.0,,,,,,3.0,99.6,312.6,4328527.0,0.0,4328708.0,0.0,0.0,30.18,0.27,, 47.55674918, -122.3332714, 5030 1St Ave S, Seattle, WA,98134
2160,24630,2016,NonResidential,Small- and Mid-Sized Office,Ufcw21 Building,Greater Duwamish,2000,1.0,3.0,43473,0,43473,Office,Office,43473.0,,,,,,3.0,101.5999985,319.0,4416909.5,0.0,4416909.0,0.0,0.0,30.79,0.71,,47.55658,-122.33322,5030 1St Ave South,Seattle,WA,98134
2184,24636,2015,NonResidential,Retail Store,Westwood Village - Building E,Delridge,1990,1.0,1.0,40265,0,40265,Retail Store,Retail Store,40793.0,,,,,,17.0,92.3,281.6,3766813.0,0.0,3603942.0,163020.0,0.0,33.78,0.45,, 47.52131741, -122.3668974, 2600 Sw Barton St, Seattle, WA,98126
2162,24636,2016,NonResidential,Retail Store,Westwood Village - Building E,Delridge,1990,1.0,1.0,40265,0,40265,Retail Store,Retail Store,40793.0,,,,,,19.0,91.69999695,277.5,3740373.75,0.0,3536625.0,203748.0,0.0,35.48,0.88,,47.52254,-122.36627,2600 Sw Barton St,Seattle,WA,98126
2185,24640,2015,NonResidential,Retail Store,Westwood Village - Building F,Delridge,2005,1.0,1.0,26208,0,26208,Retail Store,Retail Store,32427.0,,,,,,80.0,44.9,115.5,1456039.0,0.0,1060751.0,395332.0,0.0,28.39,0.91,, 47.52131741, -122.3668974, 2600 Sw Barton St, Seattle, WA,98126
2163,24640,2016,NonResidential,Retail Store,Westwood Village - Building F,Delridge,2005,1.0,1.0,26208,0,26208,Retail Store,Retail Store,32427.0,,,,,,79.0,49.59999847,118.9000015,1608884.25,0.0,1036767.0,572117.0,0.0,37.61,1.44,,47.52254,-122.36627,2600 Sw Barton St,Seattle,WA,98126
