,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Latitude,Longitude,Address,City,State,ZipCode,AgeofBuilding,MeanBuildingGFA,MeanFloorGFA,BuildingGFApct,ParkingGFApct
0,1,2015,NonResidential,Hotel,Mayflower Park Hotel,Downtown,1.0,12.0,88434,Hotel,,65.0,6981428.0,249.43,, 47.61219025, -122.33799744, 405 Olive Way, Seattle, WA,98101,88,88434.0,7369.5,1.0,0.0
0,1,2016,NonResidential,Hotel,Mayflower Park Hotel,Downtown,1.0,12.0,88434,Hotel,,60.0,7226362.5,249.98,,47.6122,-122.33799,405 Olive Way,Seattle,WA,98101,89,88434.0,7369.5,1.0,0.0
1,2,2015,NonResidential,Hotel,Paramount Hotel,Downtown,1.0,11.0,103566,Hotel,,51.0,8354235.0,263.51,, 47.61310583, -122.33335756, 724 Pine St, Seattle, WA,98101,19,103566.0,9415.09090909091,0.8545468590077825,0.1454531409922175
1,2,2016,NonResidential,Hotel,Paramount Hotel,Downtown,1.0,11.0,103566,Hotel,,61.0,8387933.0,295.86,,47.61317,-122.33393,724 Pine Street,Seattle,WA,98101,20,103566.0,9415.09090909091,0.8545468590077825,0.1454531409922175
2,3,2015,NonResidential,Hotel,Westin Hotel,Downtown,1.0,41.0,961990,Hotel,,18.0,73130656.0,2061.48,, 47.61334897, -122.33769944, 1900 5Th Ave, Seattle, WA,98101,46,961990.0,23463.170731707316,1.0,0.0
2,3,2016,NonResidential,Hotel,5673-The Westin Seattle,Downtown,1.0,41.0,956110,Hotel,,43.0,72587024.0,2089.28,,47.61393,-122.3381,1900 5Th Avenue,Seattle,WA,98101,47,956110.0,23319.756097560974,0.7942517074395206,0.20574829256047944
3,5,2015,NonResidential,Hotel,Hotel Max,Downtown,1.0,10.0,61320,Hotel,,1.0,28229320.0,1936.34,High Outlier, 47.61421585, -122.33660889, 620 Stewart St, Seattle, WA,98101,89,61320.0,6132.0,1.0,0.0
3,5,2016,NonResidential,Hotel,Hotel Max,Downtown,1.0,10.0,61320,Hotel,,56.0,6794584.0,286.43,,47.61412,-122.33664,620 Stewart St,Seattle,WA,98101,90,61320.0,6132.0,1.0,0.0
4,8,2015,NonResidential,Hotel,Warwick Seattle Hotel,Downtown,1.0,18.0,119890,Hotel,,67.0,14829099.0,507.7,, 47.6137544, -122.3409238, 401 Lenora St, Seattle, WA,98121,35,119890.0,6660.555555555556,0.896071398782217,0.10392860121778297
4,8,2016,NonResidential,Hotel,Warwick Seattle Hotel (Id8),Downtown,1.0,18.0,175580,Hotel,,75.0,14172606.0,505.01,,47.61375,-122.34047,401 Lenora St,Seattle,WA,98121,36,175580.0,9754.444444444445,0.6468846110035311,0.3531153889964688
5,9,2015,Nonresidential COS,Other,West Precinct (Seattle Police),Downtown,1.0,2.0,97288,Police Station,,,12051984.0,304.62,, 47.6164389, -122.33676431, 810 Virginia St, Seattle, WA,98101,16,97288.0,48644.0,0.6176506866211661,0.382349313378834
5,9,2016,Nonresidential COS,Other,West Precinct,Downtown,1.0,2.0,97288,Police Station,,,12086616.0,301.81,,47.61623,-122.33657,810 Virginia St,Seattle,WA,98101,17,97288.0,48644.0,0.6176506866211661,0.382349313378834
6,10,2015,NonResidential,Hotel,Camlin Worldmark Hotel,Downtown,1.0,11.0,83008,Hotel,,25.0,6252842.0,208.46,, 47.6141141, -122.33274086, 1619 9Th Ave, Seattle, WA,98101,89,83008.0,7546.181818181818,1.0,0.0
6,10,2016,NonResidential,Hotel,Camlin,Downtown,1.0,11.0,83008,Hotel,,27.0,5758795.0,176.14,,47.6139,-122.33283,1619 9Th Avenue,Seattle,WA,98101,90,83008.0,7546.181818181818,1.0,0.0
7,11,2015,NonResidential,Other,Paramount Theater,Downtown,1.0,8.0,102761,Other - Entertainment/Public Assembly,,,6426022.0,199.99,, 47.61290234, -122.33130949, 901 Pine St, Seattle, WA,98101,89,102761.0,12845.125,1.0,0.0
7,11,2016,NonResidential,Other,Paramount Theatre,Downtown,1.0,8.0,102761,Other - Entertainment/Public Assembly,,,6298131.5,221.51,,47.61327,-122.33136,911 Pine St,Seattle,WA,98101,90,102761.0,12845.125,1.0,0.0
8,12,2015,NonResidential,Hotel,Courtyard By Marriott - Alaska Bldg Seattle,Downtown,1.0,15.0,163984,Hotel,,46.0,12633744.0,331.61,, 47.60258934, -122.33255325, 612 2Nd Ave, Seattle, WA,98104,111,163984.0,10932.266666666666,1.0,0.0
8,12,2016,NonResidential,Hotel,311Wh-Pioneer Square,Downtown,1.0,15.0,163984,Hotel,,43.0,13723820.0,392.16,,47.60294,-122.33263,612 2Nd Ave,Seattle,WA,98104,112,163984.0,10932.266666666666,1.0,0.0
10,15,2015,NonResidential,Hotel,Hotel Monaco,Downtown,1.0,11.0,153163,,,48.0,14719853.0,576.63,, 47.60712147, -122.33431932, 1101 4Th Ave, Seattle, WA,98101,46,153163.0,13923.90909090909,0.8741275634454797,0.12587243655452035
10,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,Downtown,1.0,11.0,153163,Hotel,,30.0,16016644.0,691.26,,47.60695,-122.33414,1101 4Th Avenue,Seattle,WA,98101,47,153163.0,13923.90909090909,0.8741275634454797,0.12587243655452035
11,16,2015,NonResidential,Hotel,W Seattle Hotel,Downtown,1.0,25.0,333176,Hotel,,32.0,27717026.0,723.4,, 47.60718204, -122.33347215, 1112 4Th Ave, Seattle, WA,98101,17,333176.0,13327.04,0.8164303551276202,0.18356964487237976
11,16,2016,NonResidential,Hotel,5679-W Seattle,Downtown,1.0,25.0,333176,Hotel,,36.0,26941110.0,740.97,,47.60713,-122.33323,1112 Fourth Avenue,Seattle,WA,98101,18,333176.0,13327.04,0.8164303551276202,0.18356964487237976
12,17,2015,NonResidential,Hotel,Executive Pacific Plaza,Downtown,1.0,9.0,65009,Hotel,,39.0,6807227.0,334.87,, 47.60709939, -122.33310536, 400 Spring St, Seattle, WA,98104,87,65009.0,7223.222222222223,1.0,0.0
12,17,2016,NonResidential,Hotel,Executive Pacific Plaza,Downtown,1.0,9.0,65009,Hotel,,48.0,6596057.5,328.23,,47.60699,-122.33346,400 Spring Street,Seattle,WA,98104,88,65009.0,7223.222222222223,1.0,0.0
13,18,2015,NonResidential,Hotel,Crowne Plaza,Downtown,1.0,33.0,315952,Hotel,,56.0,22811690.0,675.34,, 47.60809326, -122.33211517, 1113 6Th Ave, Seattle, WA,98101,35,315952.0,9574.30303030303,0.8176938269104168,0.18230617308958322
13,18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,Downtown,1.0,33.0,315952,Hotel,,58.0,22325364.0,648.62,,47.60809,-122.33212,1113 6Th Ave,Seattle,WA,98101,36,315952.0,9574.30303030303,0.8176938269104168,0.18230617308958322
14,19,2015,NonResidential,Hotel,Hotel Vintage Park,Downtown,1.0,11.0,67390,,,14.0,10711451.0,486.25,, 47.60761642, -122.3323288, 1100 5Th Ave, Seattle, WA,98101,93,67390.0,6126.363636363636,1.0,0.0
14,19,2016,NonResidential,Hotel,Hotel Vintage Seattle,Downtown,1.0,11.0,92190,Hotel,,35.0,10750010.0,511.39,,47.60755,-122.33244,1100 5Th Avenue,Seattle,WA,98101,94,92190.0,8380.90909090909,0.7266514806378133,0.2733485193621868
15,21,2015,Nonresidential COS,Other,Seattle Central Library,Downtown,1.0,11.0,412000,Library,,,16849234.0,166.84,, 47.60667501, -122.33226425, 1000 4Th Ave, Seattle, WA,98104,11,412000.0,37454.545454545456,0.8616504854368932,0.1383495145631068
15,21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,Downtown,1.0,11.0,412000,Library,,,18588860.0,181.38,,47.60649,-122.33297,1000 Fourth Avenue,Seattle,WA,98154,12,412000.0,37454.545454545456,0.8616504854368932,0.1383495145631068
16,22,2015,NonResidential,Other,Downtown Seattle Ymca,Downtown,1.0,6.0,103911,Fitness Center/Health Club/Gym,,,10340282.0,411.09,, 47.60544586, -122.33280182, 909 4Th Ave, Seattle, WA,98104,85,103911.0,17318.5,1.0,0.0
16,22,2016,NonResidential,Other,Downtown Seattle Ymca,Downtown,1.0,6.0,103911,Fitness Center/Health Club/Gym,,,9956396.0,433.86,,47.60546,-122.33279,909 4Th Avenue,Seattle,WA,98104,86,103911.0,17318.5,1.0,0.0
17,23,2015,NonResidential,Hotel,Renaissance Madison Hotel,Downtown,1.0,28.0,416281,Hotel,,30.0,33270518.0,755.12,, 47.60656003, -122.33063632, 515 Madison St, Seattle, WA,98104,32,416281.0,14867.17857142857,0.7958110026640659,0.20418899733593415
17,23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,Downtown,1.0,28.0,416281,Hotel,,31.0,33556756.0,802.89,,47.60681,-122.33078,515 Madison Street,Seattle,WA,98104,33,416281.0,14867.17857142857,0.7958110026640659,0.20418899733593415
18,24,2015,NonResidential,Mixed Use Property,Rainier Club (Historical Landmark),Downtown,1.0,5.0,57452,Social/Meeting Hall,,,7481768.0,265.5,, 47.60552597, -122.33163032, 810 4Th Ave, Seattle, WA,98104,108,57452.0,11490.4,1.0,0.0
18,24,2016,NonResidential,Mixed Use Property,The Rainier Club,Downtown,1.0,5.0,57452,Social/Meeting Hall,,,7606084.5,273.02,,47.60515,-122.33159,820 4Th Ave.,Seattle,WA,98104,109,57452.0,11490.4,1.0,0.0
19,25,2015,NonResidential,Hotel,Double Tree Arctic Club Hotel - Seattle,Downtown,1.0,10.0,104352,,,83.0,7845112.0,411.22,, 47.60397899, -122.3320576, 700 3Rd Ave, Seattle, WA,98104,99,104352.0,10435.2,1.0,0.0
19,25,2016,NonResidential,Hotel,Arctic Club Seattle,Downtown,1.0,10.0,104352,Hotel,,39.0,10154608.0,349.32,,47.60376,-122.33194,700 3Rd Ave,Seattle,WA,98104,100,104352.0,10435.2,1.0,0.0
20,26,2015,NonResidential,Other,King County Courthouse,Downtown,1.0,10.0,540360,Courthouse,,67.0,53332648.0,1596.08,, 47.60264587, -122.33052826, 516 3Rd Ave, Seattle, WA,98104,99,540360.0,54036.0,1.0,0.0
20,26,2016,NonResidential,Other,King County Courthouse,Downtown,1.0,10.0,540360,Courthouse,,76.0,44984468.0,1265.29,,47.60265,-122.33051,516 3Rd Ave,Seattle,WA,98104,100,540360.0,54036.0,1.0,0.0
21,27,2015,NonResidential,Other,King County Correctional Facility,Downtown,1.0,19.0,385274,Other,,,50899248.0,1795.42,, 47.60355377, -122.32830048, 500 5Th Ave, Seattle, WA,98104,30,385274.0,20277.57894736842,1.0,0.0
21,27,2016,NonResidential,Other,King County Correctional Facility,Downtown,1.0,19.0,385274,Other,,,47859812.0,1699.45,,47.60378,-122.32842,500 5Th Ave,Seattle,WA,98104,31,385274.0,20277.57894736842,1.0,0.0
22,28,2015,SPS-District K-12,K-12 School,Graham Hill Elementary School (Sps-District),Southeast,1.0,2.0,56228,K-12 School,,96.0,1454222.0,35.17,, 47.54570136, -122.2685843, 5101 S Graham St, Seattle, WA,98118,54,56228.0,28114.0,1.0,0.0
23,29,2015,NonResidential,Hotel,Watertown Hotel,Northeast,1.0,6.0,88592,Hotel,,85.0,3880806.0,102.08,, 47.65953281, -122.3173925, 4242 Roosevelt Way Ne, Seattle, WA,98105,14,88592.0,14765.333333333334,0.6547543796279574,0.34524562037204265
23,29,2016,NonResidential,Hotel,Watertown Hotel,Northeast,1.0,6.0,88592,Hotel,,84.0,3663534.5,90.01,,47.65959,-122.31755,4242 Roosevelt Way Ne,Seattle,WA,98105,15,88592.0,14765.333333333334,0.6547543796279574,0.34524562037204265
24,30,2015,NonResidential,University,Cornish (Main Campus Center),Downtown,1.0,7.0,126593,College/University,,,9791557.0,308.6,, 47.61839333, -122.3369292, 1000 Lenora St, Seattle, WA,98121,87,126593.0,18084.714285714286,1.0,0.0
24,30,2016,NonResidential,University,Main Campus Center,Downtown,1.0,7.0,126593,College/University,,,11343686.0,388.04,,47.61816,-122.33629,1000 Lenora St.,Seattle,WA,98121,88,126593.0,18084.714285714286,1.0,0.0
25,31,2015,NonResidential,Other,Seattle Honda,Downtown,1.0,2.0,67224,Automobile Dealership,,,1388717.0,9.68,, 47.61490582, -122.33040102, 1017 Olive Way, Seattle, WA,98101,85,67224.0,33612.0,1.0,0.0
25,31,2016,NonResidential,Other,Seattle Honda,Downtown,1.0,2.0,67224,Automobile Dealership,,,1310236.625,9.13,,47.615,-122.33081,1015 & 1017 Olive Way,Seattle,WA,98101,86,67224.0,33612.0,1.0,0.0
26,32,2015,NonResidential,Hotel,Homewood Suites -Seattle - Hilton,East,1.0,8.0,158676,Hotel,,,5159342.0,249.43,, 47.61300278, -122.32923126, 1011 Pike St, Seattle, WA,98101,24,158676.0,19834.5,0.8090385439511961,0.19096145604880385
26,32,2016,NonResidential,Hotel,Homewood Suites,East,1.0,8.0,158676,Hotel,,,5328051.5,256.57,,47.61301,-122.32929,1011 Pike St,Seattle,WA,98101,25,158676.0,19834.5,0.8090385439511961,0.19096145604880385
27,33,2015,NonResidential,Hotel,Springhill Suites Seattle Downtown,Downtown,1.0,10.0,171866,Hotel,,20.0,11026945.0,319.73,, 47.61806905, -122.33005445, 1800 Yale Ave, Seattle, WA,98101,14,171866.0,17186.6,0.7772625184736947,0.22273748152630538
27,33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),Downtown,1.0,10.0,171866,Hotel,,57.0,11061916.0,328.63,,47.61784,-122.32966,1800 Yale Ave,Seattle,WA,98101,15,171866.0,17186.6,0.7772625184736947,0.22273748152630538
28,34,2015,SPS-District K-12,K-12 School,Meany Middle School (Sps-District),Central,1.0,1.0,126351,K-12 School,,57.0,6283226.0,244.51,, 47.62309371, -122.3053887, 300 20Th Ave E, Seattle, WA,98112,60,126351.0,126351.0,1.0,0.0
29,35,2015,NonResidential,Hotel,Hotel Five,Downtown,1.0,5.0,68410,Hotel,,60.0,4341706.0,125.57,, 47.61587049, -122.34197968, 2200 5Th Ave, Seattle, WA,98121,37,68410.0,13682.0,0.7631925157140769,0.2368074842859231
29,35,2016,NonResidential,Hotel,Hotel Five,Downtown,1.0,5.0,68410,Hotel,,57.0,4456714.5,128.44,,47.61558,-122.34186,2200 5Th Ave,Seattle,WA,98121,38,68410.0,13682.0,0.7631925157140769,0.2368074842859231
30,36,2015,SPS-District K-12,K-12 School,Jane Adams Junior High (Sps-District),North,1.0,2.0,160645,K-12 School,,80.0,6387710.0,260.37,, 47.71011498, -122.29379175, 11031 34Th Ave Ne, Seattle, WA,98125,66,160645.0,80322.5,1.0,0.0
31,37,2015,SPS-District K-12,K-12 School,John Hay Elementary School (Sps-District),Magnolia / Queen Anne,1.0,2.0,51582,K-12 School,,94.0,1472548.0,10.27,, 47.63303191, -122.35245717, 201 Garfield St, Seattle, WA,98109,26,51582.0,25791.0,1.0,0.0
32,38,2015,NonResidential,Small- and Mid-Sized Office,House Of Good Shepherd,Lake Union,1.0,3.0,87262,Office,,,3988729.0,149.39,, 47.66391557, -122.33172174, 4649 Sunnyside Ave N, Seattle, WA,98103,109,87262.0,29087.333333333332,1.0,0.0
32,38,2016,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,Lake Union,1.0,3.0,87262,Office,,,4145920.5,157.77,,47.6641,-122.33118,4649 Sunnyside Ave. N.,Seattle,WA,98070,110,87262.0,29087.333333333332,1.0,0.0
33,40,2015,NonResidential,Hotel,Silver Cloud Inn University,Northeast,1.0,4.0,81871,Hotel,,20.0,7419765.0,243.37,, 47.66585193, -122.29889419, 5036 25Th Ave Ne, Seattle, WA,98105,21,81871.0,20467.75,1.0,0.0
33,40,2016,NonResidential,Hotel,Silver Cloud University,Northeast,1.0,4.0,81871,Hotel,,29.0,6668568.5,215.0,,47.66583,-122.29965,5036 25Th Ave Ne,Seattle,WA,98105,22,81871.0,20467.75,1.0,0.0
34,41,2015,NonResidential,Self-Storage Facility,Qfc / Shurgard Mini Storage / Liquor Store,Northeast,1.0,2.0,126394,Self-Storage Facility,,77.0,306721.0,3.71,, 47.66270326, -122.29612323, 2746 Ne 45Th St, Seattle, WA,98105,60,126394.0,63197.0,1.0,0.0
34,41,2016,NonResidential,Self-Storage Facility,08781-University Village,Northeast,1.0,2.0,110356,Self-Storage Facility,,,318364.8125,3.93,,47.66172,-122.29598,2746 Ne 45Th St Suite 100,Seattle,WA,98105,61,110356.0,55178.0,1.0,0.0
35,46,2015,NonResidential,Distribution Center,Seattle Warehouse Office Building,Greater Duwamish,7.0,2.0,714095,,,1.0,47843892.0,333.54,, 47.5106034, -122.29027588, 3301 S Norfolk St, Seattle, WA,98118,54,102013.57142857143,357047.5,1.0,0.0
36,46,2016,NonResidential,Warehouse,Seattle 11-13,Greater Duwamish,3.0,2.0,714095,Non-Refrigerated Warehouse,,,44731160.0,311.84,,47.51138,-122.28875,3301 S Norfolk St,Seattle,WA,98118,55,238031.66666666666,357047.5,1.0,0.0
36,50,2015,SPS-District K-12,K-12 School,Lawton Elementary School (Sps-District),Magnolia / Queen Anne,1.0,2.0,54986,K-12 School,2016,91.0,1655612.0,28.78,, 47.65726207, -122.39065097, 4017 26Th Ave W, Seattle, WA,98199,25,54986.0,27493.0,1.0,0.0
37,50,2016,SPS-District K-12,K-12 School,Lawton Elementary,Magnolia / Queen Anne,1.0,2.0,54986,K-12 School,2016,97.0,1650279.25,31.47,,47.65671,-122.39047,4000 27Th Ave. W.,Seattle,WA,98199,26,54986.0,27493.0,1.0,0.0
37,51,2015,SPS-District K-12,K-12 School,Eckstein Middle (Sps-District),Northeast,1.0,2.0,175565,K-12 School,,88.0,6227419.0,258.67,, 47.68245037, -122.2939354, 3003 Ne 75Th St, Seattle, WA,98115,65,175565.0,87782.5,1.0,0.0
38,52,2015,NonResidential,Small- and Mid-Sized Office,Salmon Bay Center 5305 & 5309,Ballard,1.0,2.0,94900,Office,,57.0,6043853.0,123.08,, 47.66580963, -122.3860321, 5305 Shilshole Ave Nw, Seattle, WA,98107,54,94900.0,47450.0,1.0,0.0
39,52,2016,NonResidential,Small- and Mid-Sized Office,Sbc52,Ballard,1.0,2.0,94900,Office,,57.0,6186461.5,130.56,,47.66587,-122.38476,5305 Shilshole Ave Nw,Seattle,WA,98107,55,94900.0,47450.0,1.0,0.0
39,53,2015,NonResidential,Small- and Mid-Sized Office,El Centro De La Raza,Greater Duwamish,1.0,2.0,52554,Office,,93.0,2137686.0,56.97,, 47.58002948, -122.31181286, 2524 16Th Ave S, Seattle, WA,98144,115,52554.0,26277.0,1.0,0.0
40,53,2016,NonResidential,Small- and Mid-Sized Office,El Centro De La Raza,Greater Duwamish,1.0,2.0,52554,Office,,83.0,2951331.25,83.86,,47.58034,-122.31132,2524 16Th Ave S,Seattle,WA,98144,116,52554.0,26277.0,1.0,0.0
40,54,2015,NonResidential,K-12 School,Blanchet High School,Northwest,1.0,3.0,175015,K-12 School,,95.0,7080118.0,251.72,, 47.68894837, -122.33616192, 8200 Wallingford Ave N, Seattle, WA,98103,61,175015.0,58338.333333333336,1.0,0.0
41,54,2016,NonResidential,K-12 School,Blanchet High School,Northwest,1.0,3.0,175015,K-12 School,,95.0,6994740.5,247.85,,47.68891,-122.33553,8200 Wallingford Ave. N,Seattle,WA,98103,62,175015.0,58338.333333333336,1.0,0.0
41,55,2015,NonResidential,Self-Storage Facility,Mini Stg (Old Skyway Luggage Co),Downtown,1.0,3.0,70586,Self-Storage Facility,,,2147062.0,39.87,, 47.61311034, -122.35096928, 11 Vine St, Seattle, WA,98121,104,70586.0,23528.666666666668,1.0,0.0
42,55,2016,NonResidential,Self-Storage Facility,Vine Street,Downtown,1.0,3.0,70586,Self-Storage Facility,,,2158629.0,45.43,,47.61351,-122.35129,11 Vine Street,Seattle,WA,98121,105,70586.0,23528.666666666668,1.0,0.0
42,56,2015,NonResidential,Hotel,Hilton Seattle,Downtown,1.0,24.0,332210,Hotel,,68.0,15660628.0,263.85,, 47.60950466, -122.3334029, 1301 6Th Ave, Seattle, WA,98101,46,332210.0,13842.083333333334,0.3800006020288372,0.6199993979711628
43,56,2016,NonResidential,Hotel,Seattle Hilton Hotel,Downtown,1.0,24.0,332210,Hotel,,67.0,16163194.0,295.33,,47.60946,-122.33337,1301 Sixth Ave,Seattle,WA,98101,47,332210.0,13842.083333333334,0.3800006020288372,0.6199993979711628
43,57,2015,NonResidential,Large Office,5Th And Pine,Downtown,1.0,5.0,168115,Office,2016,79.0,9213841.0,64.23,, 47.61103976, -122.3363484, 1513 5Th Ave, Seattle, WA,98101,42,168115.0,33623.0,1.0,0.0
44,57,2016,NonResidential,Large Office,5Th And Pine,Downtown,1.0,5.0,168115,Office,2016,78.0,9536161.0,66.48,,47.6113,-122.33659,413 Pine Street,Seattle,WA,98101,43,168115.0,33623.0,1.0,0.0
45,58,2016,NonResidential,Other,1525 4Th Avenue,Downtown,1.0,2.0,57428,Other - Mall,,,1247362.0,33.26,,47.61076,-122.33765,1525 4Th Ave,Seattle,WA,98101,96,57428.0,28714.0,1.0,0.0
45,59,2015,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,Downtown,1.0,8.0,59400,Office,,,3915947.0,27.3,, 47.610466, -122.33795929, 1518 3Rd Ave, Seattle, WA,98101,105,59400.0,7425.0,1.0,0.0
46,59,2016,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,Downtown,1.0,8.0,59400,Office,,14.0,5071974.0,35.36,,47.61048,-122.33794,1520 3Rd Ave,Seattle,WA,98101,106,59400.0,7425.0,1.0,0.0
46,60,2015,NonResidential,Mixed Use Property,Mann Building/Wild Ginger/Triple Door,Downtown,1.0,2.0,52549,Other - Entertainment/Public Assembly,,,15583947.0,583.41,, 47.60883331, -122.3374176, 1401 3Rd Ave, Seattle, WA,98101,89,52549.0,26274.5,1.0,0.0
47,60,2016,NonResidential,Mixed Use Property,Mann Building,Downtown,1.0,2.0,52549,Other - Entertainment/Public Assembly,,,15026196.0,584.31,,47.60886,-122.33744,1401 3Rd Avenue,Seattle,WA,98101,90,52549.0,26274.5,1.0,0.0
48,62,2015,NonResidential,Hotel,Roosevelt Hotel,Downtown,1.0,20.0,98634,Hotel,,46.0,6175812.0,77.8,, 47.61229324, -122.33441925, 1531 7Th Ave, Seattle, WA,98101,85,98634.0,4931.7,0.8981791268730863,0.10182087312691364
48,62,2016,NonResidential,Hotel,Roosevelt Hotel,Downtown,1.0,20.0,98634,Hotel,,71.0,4841347.5,59.19,,47.61233,-122.33432,1531 7Th Ave,Seattle,WA,98101,86,98634.0,4931.7,0.8981791268730863,0.10182087312691364
49,63,2015,NonResidential,Hotel,Sheraton Hotel,Downtown,1.0,34.0,994212,Hotel,,60.0,85357952.0,2846.07,, 47.61101988, -122.3335344, 1400 6Th Ave, Seattle, WA,98101,33,994212.0,29241.529411764706,0.8524519921304511,0.14754800786954894
49,63,2016,NonResidential,Hotel,Sheraton Seattle Hotel,Downtown,1.0,34.0,994212,Hotel,,63.0,80469216.0,2451.58,,47.61087,-122.33339,1400 6Th Avenue,Seattle,WA,98101,34,994212.0,29241.529411764706,0.8524519921304511,0.14754800786954894
50,65,2015,NonResidential,Hotel,Inn At The Market,Downtown,1.0,7.0,71150,Hotel,,99.0,5040382.0,126.83,, 47.60989093, -122.3414255, 86 Pine St, Seattle, WA,98101,30,71150.0,10164.285714285714,1.0,0.0
50,65,2016,NonResidential,Hotel,Inn At The Market,Downtown,1.0,7.0,71150,Hotel,,98.0,5348309.0,134.38,,47.60997,-122.34138,86 Pine St,Seattle,WA,98101,31,71150.0,10164.285714285714,1.0,0.0
51,66,2015,NonResidential,Hotel,Moore Hotel & Theatre,Downtown,1.0,7.0,122810,Hotel,,99.0,5086863.0,209.92,, 47.61155254, -122.3408486, 1926 2Nd Ave, Seattle, WA,98101,107,122810.0,17544.285714285714,1.0,0.0
51,66,2016,NonResidential,Hotel,Moore Hotel Inc,Downtown,1.0,7.0,122810,Hotel,,99.0,5401277.5,227.18,,47.61155,-122.34114,1926 2Nd Ave,Seattle,WA,98101,108,122810.0,17544.285714285714,1.0,0.0
52,67,2015,NonResidential,Hotel,Quality Inn & Suites - Seattle,Lake Union,1.0,5.0,113173,,,86.0,4988241.0,120.73,, 47.62037281, -122.3441465, 618 John St, Seattle, WA,98109,56,113173.0,22634.6,0.6240622763379958,0.3759377236620042
52,67,2016,NonResidential,Hotel,Quality Inn,Lake Union,1.0,5.0,113173,Hotel,,86.0,5284343.5,144.79,,47.61986,-122.34413,618 John St,Seattle,WA,98109,57,113173.0,22634.6,0.6240622763379958,0.3759377236620042
53,68,2015,NonResidential,Hotel,Holiday Inn - Seattle,Lake Union,1.0,7.0,150453,Hotel,2014,83.0,6722886.0,191.58,, 47.6203118, -122.3428044, 211 Dexter Ave N, Seattle, WA,98109,15,150453.0,21493.285714285714,0.7691305590450174,0.23086944095498263
53,68,2016,NonResidential,Hotel,Rainier Hospitality,Lake Union,1.0,7.0,150453,Hotel,2014,84.0,6715187.0,199.95,,47.62001,-122.34274,211 Dexter Ave N,Seattle,WA,98109,16,150453.0,21493.285714285714,0.7691305590450174,0.23086944095498263
54,69,2015,NonResidential,Hotel,Holiday Inn Express - Downtown Seattle,Lake Union,1.0,6.0,116300,Hotel,,84.0,6014078.0,170.01,, 47.62021696, -122.3432115, 226 Aurora Ave N, Seattle, WA,98109,18,116300.0,19383.333333333332,0.7575236457437661,0.24247635425623387
54,69,2016,NonResidential,Hotel,Sequim Lodging Corp,Lake Union,1.0,6.0,116300,Hotel,,80.0,5827595.5,162.39,,47.62025,-122.34314,226 Aurora Ave N,Seattle,WA,98109,19,116300.0,19383.333333333332,0.7575236457437661,0.24247635425623387
55,70,2015,NonResidential,Hotel,Homewood Suites Hotel - Seattle,Magnolia / Queen Anne,1.0,6.0,155602,Hotel,,81.0,6915293.0,156.59,, 47.62050588, -122.3596901, 206 Western Ave W, Seattle, WA,98119,17,155602.0,25933.666666666668,0.7638590763614863,0.23614092363851363
55,70,2016,NonResidential,Hotel,Homewood Suites By Hilton Seattle Downtonw,Magnolia / Queen Anne,1.0,6.0,155602,Hotel,,81.0,6836900.0,152.76,,47.62023,-122.35951,206 Western Ave West,Seattle,WA,98119,18,155602.0,25933.666666666668,0.7638590763614863,0.23614092363851363
56,73,2015,NonResidential,K-12 School,Seattle Hebrew Acadamy,East,1.0,3.0,56072,K-12 School,,77.0,3106930.0,139.62,, 47.63445532, -122.3080163, 1617 Interlaken Dr E, Seattle, WA,98112,104,56072.0,18690.666666666668,1.0,0.0
56,73,2016,NonResidential,K-12 School,Seattle Hebrew Academy,East,1.0,3.0,56072,K-12 School,,76.0,3234787.75,146.34,,47.63442,-122.30793,1617 Interlaken Drive East,Seattle,WA,98136,105,56072.0,18690.666666666668,1.0,0.0
57,77,2015,NonResidential,Hotel,Comfort Suites Seattle Center,Magnolia / Queen Anne,1.0,4.0,122942,Hotel,,94.0,5276777.0,169.49,, 47.62498256, -122.3445605, 601 Roy St, Seattle, WA,98109,16,122942.0,30735.5,0.6348603406484359,0.36513965935156417
57,77,2016,NonResidential,Hotel,Comfort Suites Seattle Center,Magnolia / Queen Anne,1.0,4.0,122942,Hotel,,94.0,5337334.0,171.64,,47.62519,-122.34456,601 Roy St,Seattle,WA,98109,17,122942.0,30735.5,0.6348603406484359,0.36513965935156417
58,82,2015,NonResidential,Small- and Mid-Sized Office,Wa Dept Of Social & Health Services,Central,1.0,2.0,54984,Office,,65.0,3504957.0,85.51,, 47.60841187, -122.3095441, 1700 E Cherry St, Seattle, WA,98122,53,54984.0,27492.0,1.0,0.0
