,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Latitude,Longitude,Address,City,State,ZipCode,AgeofBuilding,MeanBuildingGFA,MeanFloorGFA,BuildingGFApct,ParkingGFApct
3023,27721,2015,Nonresidential COS,Other,Greenwood Library,Northwest,1.0,1.0,27376,Library,,,1120272.0,28.52,, 47.68745354, -122.3547797, 8016 Greenwood Ave N, Seattle, WA,98103,11,27376.0,27376.0,0.46778199883109295,0.532218001168907
2985,27721,2016,Nonresidential COS,Other,The Seattle Public Library - Greenwood Branch,Northwest,1.0,1.0,27376,Library,,,1082920.125,26.67,,47.6875,-122.35496,8016 Greenwood Ave N,Seattle,WA,98103,12,27376.0,27376.0,0.46778199883109295,0.532218001168907
3033,27816,2015,NonResidential,Other,Teen Challenge,Central,1.0,3.0,25200,Other - Lodging/Residential,,,1111726.0,45.39,, 47.61795736, -122.3084756, 1808 18Th Ave, Seattle, WA,98122,104,25200.0,8400.0,1.0,0.0
2995,27816,2016,NonResidential,Other,Son Shone Inn,Central,1.0,3.0,25200,Other - Lodging/Residential,,,1242666.25,53.02,,47.61796,-122.30847,1808 18Th Ave,Seattle,WA,98122,105,25200.0,8400.0,1.0,0.0
3034,27821,2015,NonResidential,Supermarket/Grocery Store,Quality Food Center (Qfc) Supermarket,North,1.0,1.0,44755,Supermarket/Grocery Store,,35.0,12577336.0,332.63,, 47.70938625, -122.3172013, 11100 Roosevelt Way Ne, Seattle, WA,98125,19,44755.0,44755.0,1.0,0.0
2996,27821,2016,NonResidential,Supermarket/Grocery Store,70500866 -- Northgate,North,1.0,1.0,44755,Supermarket/Grocery Store,,56.0,11521140.0,338.58,,47.70941,-122.31707,11100 Roosevelt Way Ne,Seattle,WA,98125,20,44755.0,44755.0,1.0,0.0
3035,27825,2015,NonResidential,Other,Akers Volks-Porsche Repair,East,1.0,2.0,22320,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,,196410.0,4.33,, 47.61340332, -122.32035065, 1414 Broadway, Seattle, WA,98122,108,22320.0,11160.0,1.0,0.0
2997,27825,2016,NonResidential,Other,Aker'S Volks-Porsche Repair (Id27825),East,1.0,2.0,22320,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,,209644.9063,4.8,,47.61340332,-122.3203506,1414 Broadway,Seattle,WA,98122,109,22320.0,11160.0,1.0,0.0
3036,27828,2015,NonResidential,Mixed Use Property,Broadway And E Pike Building,East,1.0,3.0,24000,Office,,,1018068.0,9.57,, 47.613895, -122.320358, 905 E Pike St, Seattle, WA,98122,103,24000.0,8000.0,1.0,0.0
2998,27828,2016,NonResidential,Mixed Use Property,905 E Pike St,East,1.0,3.0,24000,Office,,,932083.5,9.09,,47.6139,-122.32034,905 E Pike St,Seattle,WA,98122,104,24000.0,8000.0,1.0,0.0
3037,27829,2015,NonResidential,Small- and Mid-Sized Office,East Pike Building,East,1.0,2.0,21228,Office,,64.0,799996.0,5.58,, 47.613922, -122.316421, 1205 E Pike St, Seattle, WA,98122,95,21228.0,10614.0,1.0,0.0
3038,27830,2015,NonResidential,Small- and Mid-Sized Office,Elysian Brewing Co & Offices,East,1.0,3.0,23422,Office,,64.0,2698077.0,126.92,, 47.61391707, -122.3161479, 1221 E Pike St, Seattle, WA,98122,95,23422.0,7807.333333333333,1.0,0.0
2999,27830,2016,NonResidential,Small- and Mid-Sized Office,Elysian Brewing Co & Offices,East,1.0,3.0,23422,Office,,65.0,2701872.0,128.07,,47.61393,-122.31589,1221 E Pike St.,Seattle,WA,98122,96,23422.0,7807.333333333333,1.0,0.0
3039,27833,2015,NonResidential,Other,Sound Mental Health,East,1.0,2.0,38879,Urgent Care/Clinic/Other Outpatient,,,3337933.0,27.88,, 47.616753, -122.3110869, 1600 E Olive St, Seattle, WA,98122,40,38879.0,19439.5,0.7086344813395407,0.2913655186604594
3000,27833,2016,NonResidential,Other,Sound Mental Health,East,5.0,2.0,38879,Urgent Care/Clinic/Other Outpatient,,,3371659.75,28.79,,47.61674,-122.31111,1600 East Olive St,Seattle,WA,98122,41,7775.8,19439.5,0.7086344813395407,0.2913655186604594
3042,27838,2015,NonResidential,Mixed Use Property,Madison Crossing Apartments & Store,East,1.0,5.0,53034,Multifamily Housing,,94.0,3299335.0,78.64,, 47.61547934, -122.3110575, 1600 E Madison St, Seattle, WA,98122,17,53034.0,10606.8,0.7242335105781197,0.2757664894218803
3003,27838,2016,NonResidential,Mixed Use Property,Madison Crossing,East,1.0,5.0,53034,Multifamily Housing,,93.0,3392129.0,83.65,,47.61554,-122.31098,1600 E. Madison St.,Seattle,WA,98122,18,53034.0,10606.8,0.7242335105781197,0.2757664894218803
3051,27874,2015,NonResidential,Non-Refrigerated Warehouse,Public Storage,East,1.0,2.0,61880,Non-Refrigerated Warehouse,,69.0,571309.0,3.98,, 47.61461356, -122.3160562, 1515 13Th Ave, Seattle, WA,98122,57,61880.0,30940.0,1.0,0.0
